chr	geneID	genes.start	genes.end	MI.start	MI.end	overlap	length	GOSlim	DML.overlaps
scaffold1164	CGI_10013010	289759	299639	290424	291640	1215	1216	transport	0
scaffold40874	CGI_10004436	27994	31595	29049	31482	2432	2433	cell organization and biogenesis	0
scaffold40874	CGI_10004436	27994	31595	29049	31482	2432	2433	cell cycle and proliferation	0
scaffold599	CGI_10021714	290478	340724	290507	297222	6714	6715	other metabolic processes	0
scaffold599	CGI_10021714	290478	340724	290507	297222	6714	6715	cell organization and biogenesis	0
scaffold599	CGI_10021714	290478	340724	290507	297222	6714	6715	developmental processes	0
scaffold599	CGI_10021714	290478	340724	290507	297222	6714	6715	signal transduction	0
scaffold40980	CGI_10004604	20359	31971	29051	29836	784	785	transport	0
scaffold40980	CGI_10004604	20359	31971	29051	29836	784	785	cell organization and biogenesis	0
scaffold40980	CGI_10004604	20359	31971	29051	29836	784	785	developmental processes	0
scaffold40980	CGI_10004604	20359	31971	29051	29836	784	785	signal transduction	0
scaffold593	CGI_10022522	279394	293085	290610	294159	2474	3549	other metabolic processes	0
scaffold40	CGI_10015096	27830	29414	29066	29902	347	836	cell organization and biogenesis	0
scaffold40	CGI_10015096	27830	29414	29066	29902	347	836	other metabolic processes	0
scaffold40	CGI_10015097	29840	51547	29066	29902	62	836	other metabolic processes	0
scaffold40	CGI_10015097	29840	51547	29066	29902	62	836	transport	0
scaffold40	CGI_10015097	29840	51547	29066	29902	62	836	RNA metabolism	0
scaffold1255	CGI_10018074	290039	296981	290704	291257	552	553	signal transduction	0
scaffold1255	CGI_10018074	290039	296981	290704	291257	552	553	cell organization and biogenesis	0
scaffold1255	CGI_10018074	290039	296981	290704	291257	552	553	transport	0
scaffold1255	CGI_10018074	290039	296981	290704	291257	552	553	stress response	0
scaffold1255	CGI_10018074	290039	296981	290704	291257	552	553	developmental processes	0
scaffold580	CGI_10020497	290704	298407	290759	291809	1049	1050	cell organization and biogenesis	0
scaffold580	CGI_10020497	290704	298407	290759	291809	1049	1050	protein metabolism	0
scaffold1212	CGI_10005202	1692	57399	29082	29649	566	567	developmental processes	0
scaffold1212	CGI_10005202	1692	57399	29082	29649	566	567	cell adhesion	0
scaffold1212	CGI_10005202	1692	57399	29082	29649	566	567	cell organization and biogenesis	0
scaffold1212	CGI_10005202	1692	57399	29082	29649	566	567	signal transduction	0
scaffold49	CGI_10013286	270599	295772	290822	291324	501	502	cell organization and biogenesis	0
scaffold49	CGI_10013286	270599	295772	290822	291324	501	502	transport	0
scaffold43954	CGI_10014583	287551	298862	290830	291891	1060	1061	transport	0
scaffold43842	CGI_10013111	282281	303325	290857	291403	545	546	cell cycle and proliferation	0
scaffold43842	CGI_10013111	282281	303325	290857	291403	545	546	RNA metabolism	0
scaffold43842	CGI_10013111	282281	303325	290857	291403	545	546	cell organization and biogenesis	0
scaffold43842	CGI_10013111	282281	303325	290857	291403	545	546	transport	0
scaffold43842	CGI_10013111	282281	303325	290857	291403	545	546	protein metabolism	0
scaffold43842	CGI_10013111	282281	303325	290857	291403	545	546	cell adhesion	0
scaffold780	CGI_10024727	278527	298671	290866	293249	2382	2383	RNA metabolism	0
scaffold780	CGI_10024727	278527	298671	290866	293249	2382	2383	cell organization and biogenesis	0
scaffold780	CGI_10024727	278527	298671	290866	293249	2382	2383	developmental processes	0
scaffold780	CGI_10024727	278527	298671	290866	293249	2382	2383	cell cycle and proliferation	0
scaffold1017	CGI_10024994	278960	293257	290893	291599	705	706	cell organization and biogenesis	0
scaffold1017	CGI_10024994	278960	293257	290893	291599	705	706	protein metabolism	0
scaffold41722	CGI_10005458	28342	45061	29092	30709	1616	1617	signal transduction	0
scaffold41722	CGI_10005458	28342	45061	29092	30709	1616	1617	other metabolic processes	0
scaffold1711	CGI_10015607	279894	293275	291001	292876	1874	1875	other metabolic processes	0
scaffold1711	CGI_10015607	279894	293275	291001	292876	1874	1875	protein metabolism	0
scaffold619	CGI_10025764	288364	304139	291085	291916	830	831	transport	0
scaffold321	CGI_10020805	281174	299090	291133	291648	514	515	other metabolic processes	0
scaffold321	CGI_10020805	281174	299090	291133	291648	514	515	stress response	0
scaffold321	CGI_10020805	281174	299090	291133	291648	514	515	protein metabolism	0
scaffold321	CGI_10020805	281174	299090	291133	291648	514	515	signal transduction	0
scaffold321	CGI_10020805	281174	299090	291133	291648	514	515	RNA metabolism	0
scaffold343	CGI_10021745	265429	300603	291192	293404	2211	2212	cell organization and biogenesis	0
scaffold343	CGI_10021745	265429	300603	291192	293404	2211	2212	stress response	0
scaffold343	CGI_10021745	265429	300603	291192	293404	2211	2212	DNA metabolism	0
scaffold343	CGI_10021745	265429	300603	291192	293404	2211	2212	cell cycle and proliferation	0
scaffold101	CGI_10021644	269476	308543	291414	292004	589	590	developmental processes	0
scaffold101	CGI_10021644	269476	308543	291414	292004	589	590	cell adhesion	0
scaffold347	CGI_10021790	291018	292430	291635	293523	794	1888	protein metabolism	0
scaffold1286	CGI_10009508	25687	35466	29172	31005	1832	1833	protein metabolism	0
scaffold547	CGI_10018853	288887	310939	291789	292389	599	600	other metabolic processes	0
scaffold1322	CGI_10019472	265135	302274	291801	292704	902	903	cell organization and biogenesis	0
scaffold1322	CGI_10019472	265135	302274	291801	292704	902	903	transport	0
scaffold40440	CGI_10004142	16484	36402	29181	29785	603	604	cell-cell signaling	0
scaffold40440	CGI_10004142	16484	36402	29181	29785	603	604	other metabolic processes	0
scaffold40440	CGI_10004142	16484	36402	29181	29785	603	604	stress response	0
scaffold40440	CGI_10004142	16484	36402	29181	29785	603	604	developmental processes	0
scaffold40440	CGI_10004142	16484	36402	29181	29785	603	604	transport	0
scaffold1164	CGI_10013010	289759	299639	291875	292857	981	982	stress response	0
scaffold1164	CGI_10013010	289759	299639	291875	292857	981	982	transport	0
scaffold1255	CGI_10018074	290039	296981	291898	292519	620	621	signal transduction	0
scaffold1255	CGI_10018074	290039	296981	291898	292519	620	621	cell organization and biogenesis	0
scaffold1255	CGI_10018074	290039	296981	291898	292519	620	621	transport	0
scaffold1255	CGI_10018074	290039	296981	291898	292519	620	621	stress response	0
scaffold1255	CGI_10018074	290039	296981	291898	292519	620	621	developmental processes	0
C33654	CGI_10001111	2501	14319	2919	8315	5395	5396	DNA metabolism	0
C33654	CGI_10001111	2501	14319	2919	8315	5395	5396	cell cycle and proliferation	0
scaffold20	CGI_10023571	287767	295999	292040	292793	752	753	RNA metabolism	0
scaffold873	CGI_10014427	290095	294127	292050	292832	781	782	death	0
scaffold101	CGI_10021644	269476	308543	292078	292926	847	848	developmental processes	0
scaffold101	CGI_10021644	269476	308543	292078	292926	847	848	cell adhesion	0
scaffold1822	CGI_10012066	278037	306686	292132	293836	1703	1704	protein metabolism	0
scaffold1018	CGI_10019764	291579	292553	292148	292849	404	701	protein metabolism	0
scaffold1018	CGI_10019764	291579	292553	292148	292849	404	701	stress response	0
scaffold1898	CGI_10012219	275127	306325	292219	292729	509	510	cell cycle and proliferation	0
scaffold1898	CGI_10012219	275127	306325	292219	292729	509	510	other metabolic processes	0
scaffold1898	CGI_10012219	275127	306325	292219	292729	509	510	transport	0
scaffold1898	CGI_10012219	275127	306325	292219	292729	509	510	protein metabolism	0
scaffold1898	CGI_10012219	275127	306325	292219	292729	509	510	cell organization and biogenesis	0
scaffold445	CGI_10019442	279463	293927	292304	293530	1225	1226	other metabolic processes	0
scaffold617	CGI_10012737	268182	293713	292324	293107	782	783	cell organization and biogenesis	0
scaffold617	CGI_10012737	268182	293713	292324	293107	782	783	cell cycle and proliferation	0
scaffold617	CGI_10012737	268182	293713	292324	293107	782	783	protein metabolism	0
scaffold489	CGI_10020238	281145	314598	292371	298453	6081	6082	protein metabolism	0
scaffold489	CGI_10020238	281145	314598	292371	298453	6081	6082	developmental processes	0
scaffold489	CGI_10020238	281145	314598	292371	298453	6081	6082	transport	0
scaffold489	CGI_10020238	281145	314598	292371	298453	6081	6082	cell organization and biogenesis	0
scaffold489	CGI_10020238	281145	314598	292371	298453	6081	6082	signal transduction	0
scaffold578	CGI_10015124	278033	296349	292421	293538	1116	1117	protein metabolism	0
scaffold578	CGI_10015124	278033	296349	292421	293538	1116	1117	cell organization and biogenesis	0
scaffold1884	CGI_10012019	285225	299677	292471	293174	702	703	developmental processes	0
scaffold1884	CGI_10012019	285225	299677	292471	293174	702	703	transport	0
scaffold1884	CGI_10012019	285225	299677	292471	293174	702	703	cell organization and biogenesis	0
scaffold1884	CGI_10012019	285225	299677	292471	293174	702	703	cell adhesion	0
scaffold1884	CGI_10012019	285225	299677	292471	293174	702	703	protein metabolism	0
scaffold140	CGI_10020133	274556	300501	292514	293259	744	745	cell organization and biogenesis	0
scaffold140	CGI_10020133	274556	300501	292514	293259	744	745	signal transduction	0
scaffold39066	CGI_10003160	24138	53994	29264	29796	531	532	signal transduction	0
scaffold39066	CGI_10003160	24138	53994	29264	29796	531	532	cell organization and biogenesis	0
scaffold189	CGI_10018679	288581	303162	292687	293215	527	528	other metabolic processes	0
scaffold189	CGI_10018679	288581	303162	292687	293215	527	528	stress response	0
scaffold189	CGI_10018679	288581	303162	292687	293215	527	528	signal transduction	0
scaffold189	CGI_10018679	288581	303162	292687	293215	527	528	RNA metabolism	0
scaffold833	CGI_10016742	289167	302231	292692	293326	633	634	stress response	0
scaffold833	CGI_10016742	289167	302231	292692	293326	633	634	RNA metabolism	0
scaffold1017	CGI_10024994	278960	293257	292738	293576	518	838	cell organization and biogenesis	0
scaffold1017	CGI_10024994	278960	293257	292738	293576	518	838	protein metabolism	0
scaffold1154	CGI_10026162	300263	342126	292834	303480	3217	10646	cell organization and biogenesis	0
scaffold1154	CGI_10026162	300263	342126	292834	303480	3217	10646	transport	0
scaffold1154	CGI_10026162	300263	342126	292834	303480	3217	10646	developmental processes	0
scaffold1154	CGI_10026162	300263	342126	292834	303480	3217	10646	other metabolic processes	0
scaffold267	CGI_10018305	293085	317889	292853	293496	411	643	DNA metabolism	0
scaffold267	CGI_10018305	293085	317889	292853	293496	411	643	cell organization and biogenesis	0
scaffold267	CGI_10018305	293085	317889	292853	293496	411	643	stress response	0
scaffold829	CGI_10021143	269982	320010	292863	293415	551	552	cell organization and biogenesis	0
scaffold829	CGI_10021143	269982	320010	292863	293415	551	552	developmental processes	0
scaffold829	CGI_10021143	269982	320010	292863	293415	551	552	signal transduction	0
scaffold829	CGI_10021143	269982	320010	292863	293415	551	552	other metabolic processes	0
scaffold754	CGI_10014079	289108	303428	292964	294138	1173	1174	protein metabolism	0
scaffold754	CGI_10014079	289108	303428	292964	294138	1173	1174	death	0
scaffold754	CGI_10014079	289108	303428	292964	294138	1173	1174	developmental processes	0
scaffold754	CGI_10014079	289108	303428	292964	294138	1173	1174	signal transduction	0
scaffold754	CGI_10014079	289108	303428	292964	294138	1173	1174	other metabolic processes	0
scaffold386	CGI_10012695	293622	300040	292993	294757	1135	1764	other metabolic processes	0
scaffold386	CGI_10012695	293622	300040	292993	294757	1135	1764	stress response	0
scaffold1050	CGI_10009165	21001	34286	29300	30129	828	829	cell organization and biogenesis	0
scaffold1050	CGI_10009165	21001	34286	29300	30129	828	829	transport	0
scaffold157	CGI_10021243	291635	298725	293066	294141	1074	1075	signal transduction	1
scaffold157	CGI_10021243	291635	298725	293066	294141	1074	1075	cell cycle and proliferation	1
scaffold157	CGI_10021243	291635	298725	293066	294141	1074	1075	developmental processes	1
scaffold157	CGI_10021243	291635	298725	293066	294141	1074	1075	other metabolic processes	1
scaffold157	CGI_10021243	291635	298725	293066	294141	1074	1075	protein metabolism	1
scaffold157	CGI_10021243	291635	298725	293066	294141	1074	1075	stress response	1
scaffold157	CGI_10021243	291635	298725	293066	294141	1074	1075	death	1
scaffold1255	CGI_10018074	290039	296981	293105	295028	1922	1923	signal transduction	0
scaffold1255	CGI_10018074	290039	296981	293105	295028	1922	1923	cell organization and biogenesis	0
scaffold1255	CGI_10018074	290039	296981	293105	295028	1922	1923	transport	0
scaffold1255	CGI_10018074	290039	296981	293105	295028	1922	1923	stress response	0
scaffold1255	CGI_10018074	290039	296981	293105	295028	1922	1923	developmental processes	0
scaffold544	CGI_10022553	248926	297755	293136	293659	522	523	signal transduction	0
scaffold544	CGI_10022553	248926	297755	293136	293659	522	523	protein metabolism	0
scaffold544	CGI_10022553	248926	297755	293136	293659	522	523	developmental processes	0
scaffold544	CGI_10022553	248926	297755	293136	293659	522	523	RNA metabolism	0
scaffold544	CGI_10022553	248926	297755	293136	293659	522	523	cell organization and biogenesis	0
scaffold544	CGI_10022553	248926	297755	293136	293659	522	523	transport	0
scaffold40948	CGI_10004610	20895	33912	29318	30125	806	807	cell organization and biogenesis	0
scaffold40948	CGI_10004610	20895	33912	29318	30125	806	807	cell cycle and proliferation	0
scaffold20	CGI_10023571	287767	295999	293227	293837	609	610	RNA metabolism	0
scaffold601	CGI_10026818	274688	294497	293230	293818	587	588	cell adhesion	0
scaffold914	CGI_10018886	293704	305044	293300	294922	1218	1622	cell cycle and proliferation	0
scaffold914	CGI_10018886	293704	305044	293300	294922	1218	1622	cell organization and biogenesis	0
scaffold547	CGI_10018853	288887	310939	293375	295103	1727	1728	other metabolic processes	0
scaffold632	CGI_10018452	287425	300965	293375	295689	2313	2314	stress response	0
scaffold632	CGI_10018452	287425	300965	293375	295689	2313	2314	other metabolic processes	0
scaffold632	CGI_10018452	287425	300965	293375	295689	2313	2314	transport	0
scaffold632	CGI_10018452	287425	300965	293375	295689	2313	2314	cell organization and biogenesis	0
scaffold189	CGI_10018679	288581	303162	293385	294190	804	805	other metabolic processes	0
scaffold189	CGI_10018679	288581	303162	293385	294190	804	805	stress response	0
scaffold189	CGI_10018679	288581	303162	293385	294190	804	805	signal transduction	0
scaffold189	CGI_10018679	288581	303162	293385	294190	804	805	RNA metabolism	0
scaffold1350	CGI_10017309	287668	297786	293409	294085	675	676	protein metabolism	0
scaffold1350	CGI_10017309	287668	297786	293409	294085	675	676	cell adhesion	0
scaffold1350	CGI_10017309	287668	297786	293409	294085	675	676	other metabolic processes	0
scaffold1350	CGI_10017309	287668	297786	293409	294085	675	676	cell organization and biogenesis	0
scaffold313	CGI_10026595	292287	297718	293516	296057	2540	2541	transport	0
scaffold507	CGI_10019094	285681	301039	293521	295049	1527	1528	stress response	0
scaffold507	CGI_10019094	285681	301039	293521	295049	1527	1528	RNA metabolism	0
scaffold507	CGI_10019094	285681	301039	293521	295049	1527	1528	cell organization and biogenesis	0
scaffold507	CGI_10019094	285681	301039	293521	295049	1527	1528	protein metabolism	0
scaffold507	CGI_10019094	285681	301039	293521	295049	1527	1528	other metabolic processes	0
scaffold507	CGI_10019094	285681	301039	293521	295049	1527	1528	transport	0
scaffold507	CGI_10019094	285681	301039	293521	295049	1527	1528	signal transduction	0
scaffold507	CGI_10019094	285681	301039	293521	295049	1527	1528	developmental processes	0
scaffold617	CGI_10012737	268182	293713	293548	294697	164	1149	cell organization and biogenesis	0
scaffold617	CGI_10012737	268182	293713	293548	294697	164	1149	cell cycle and proliferation	0
scaffold617	CGI_10012737	268182	293713	293548	294697	164	1149	protein metabolism	0
scaffold44006	CGI_10015583	289906	312494	293572	296233	2660	2661	other metabolic processes	0
scaffold1610	CGI_10016507	282618	300563	293580	294648	1067	1068	transport	0
scaffold546	CGI_10020990	24963	48088	29359	30347	987	988	other metabolic processes	0
scaffold546	CGI_10020990	24963	48088	29359	30347	987	988	protein metabolism	0
scaffold546	CGI_10020990	24963	48088	29359	30347	987	988	signal transduction	0
scaffold546	CGI_10020990	24963	48088	29359	30347	987	988	developmental processes	0
scaffold546	CGI_10020990	24963	48088	29359	30347	987	988	RNA metabolism	0
scaffold546	CGI_10020990	24963	48088	29359	30347	987	988	stress response	0
scaffold580	CGI_10020497	290704	298407	293603	294469	865	866	cell organization and biogenesis	0
scaffold580	CGI_10020497	290704	298407	293603	294469	865	866	protein metabolism	0
scaffold619	CGI_10025764	288364	304139	293642	294864	1221	1222	transport	0
scaffold780	CGI_10024727	278527	298671	293677	299392	4993	5715	RNA metabolism	0
scaffold780	CGI_10024727	278527	298671	293677	299392	4993	5715	cell organization and biogenesis	0
scaffold780	CGI_10024727	278527	298671	293677	299392	4993	5715	developmental processes	0
scaffold780	CGI_10024727	278527	298671	293677	299392	4993	5715	cell cycle and proliferation	0
scaffold1000	CGI_10013088	293157	305942	293744	294396	651	652	stress response	0
scaffold1000	CGI_10013088	293157	305942	293744	294396	651	652	protein metabolism	0
scaffold1000	CGI_10013088	293157	305942	293744	294396	651	652	developmental processes	0
scaffold1000	CGI_10013088	293157	305942	293744	294396	651	652	other metabolic processes	0
scaffold672	CGI_10021033	284838	299354	293809	294491	681	682	signal transduction	0
scaffold659	CGI_10014709	294225	308392	293916	294776	551	860	other metabolic processes	0
scaffold44054	CGI_10016170	294317	303838	293919	304478	9521	10559	protein metabolism	0
scaffold44054	CGI_10016170	294317	303838	293919	304478	9521	10559	other metabolic processes	0
scaffold457	CGI_10014539	289711	298900	293939	296435	2495	2496	cell-cell signaling	0
scaffold457	CGI_10014539	289711	298900	293939	296435	2495	2496	protein metabolism	0
scaffold457	CGI_10014539	289711	298900	293939	296435	2495	2496	stress response	0
scaffold457	CGI_10014539	289711	298900	293939	296435	2495	2496	other metabolic processes	0
scaffold457	CGI_10014539	289711	298900	293939	296435	2495	2496	signal transduction	0
scaffold457	CGI_10014539	289711	298900	293939	296435	2495	2496	developmental processes	0
scaffold36900	CGI_10002179	30510	33553	29394	33336	2826	3942	cell cycle and proliferation	0
scaffold36900	CGI_10002179	30510	33553	29394	33336	2826	3942	RNA metabolism	0
scaffold36900	CGI_10002179	30510	33553	29394	33336	2826	3942	cell organization and biogenesis	0
scaffold1583	CGI_10025822	295937	299922	293986	295966	29	1980	stress response	0
scaffold1583	CGI_10025822	295937	299922	293986	295966	29	1980	cell cycle and proliferation	0
scaffold1583	CGI_10025822	295937	299922	293986	295966	29	1980	cell organization and biogenesis	0
scaffold1583	CGI_10025822	295937	299922	293986	295966	29	1980	DNA metabolism	0
scaffold1583	CGI_10025822	295937	299922	293986	295966	29	1980	signal transduction	0
scaffold578	CGI_10015124	278033	296349	294055	295754	1698	1699	protein metabolism	0
scaffold578	CGI_10015124	278033	296349	294055	295754	1698	1699	cell organization and biogenesis	0
scaffold1599	CGI_10027144	291871	301066	294070	295014	943	944	cell adhesion	0
scaffold1599	CGI_10027144	291871	301066	294070	295014	943	944	cell organization and biogenesis	0
scaffold1599	CGI_10027144	291871	301066	294070	295014	943	944	protein metabolism	0
scaffold1599	CGI_10027144	291871	301066	294070	295014	943	944	signal transduction	0
scaffold1599	CGI_10027144	291871	301066	294070	295014	943	944	stress response	0
scaffold1599	CGI_10027144	291871	301066	294070	295014	943	944	transport	0
scaffold1599	CGI_10027144	291871	301066	294070	295014	943	944	developmental processes	0
scaffold12	CGI_10018039	290334	319375	294116	294911	794	795	cell organization and biogenesis	0
scaffold12	CGI_10018039	290334	319375	294116	294911	794	795	transport	0
scaffold12	CGI_10018039	290334	319375	294116	294911	794	795	developmental processes	0
scaffold43692	CGI_10011809	20600	33916	29414	29983	568	569	developmental processes	0
scaffold43692	CGI_10011809	20600	33916	29414	29983	568	569	transport	0
scaffold43692	CGI_10011809	20600	33916	29414	29983	568	569	cell organization and biogenesis	0
scaffold737	CGI_10014302	22509	35070	29418	30473	1054	1055	protein metabolism	0
scaffold737	CGI_10014302	22509	35070	29418	30473	1054	1055	RNA metabolism	0
scaffold1788	CGI_10019922	282995	305782	294181	294703	521	522	cell organization and biogenesis	0
scaffold1788	CGI_10019922	282995	305782	294181	294703	521	522	developmental processes	0
scaffold1788	CGI_10019922	282995	305782	294181	294703	521	522	RNA metabolism	0
scaffold1788	CGI_10019922	282995	305782	294181	294703	521	522	cell cycle and proliferation	0
scaffold1788	CGI_10019922	282995	305782	294181	294703	521	522	DNA metabolism	0
scaffold1788	CGI_10019922	282995	305782	294181	294703	521	522	protein metabolism	0
scaffold1788	CGI_10019922	282995	305782	294181	294703	521	522	signal transduction	0
scaffold1788	CGI_10019922	282995	305782	294181	294703	521	522	stress response	0
scaffold1078	CGI_10004750	487	3142	2942	3569	199	627	RNA metabolism	0
scaffold1879	CGI_10007953	26583	52099	29420	49960	20539	20540	transport	0
scaffold1879	CGI_10007953	26583	52099	29420	49960	20539	20540	stress response	0
scaffold1879	CGI_10007953	26583	52099	29420	49960	20539	20540	developmental processes	0
scaffold1879	CGI_10007953	26583	52099	29420	49960	20539	20540	protein metabolism	0
scaffold890	CGI_10014480	287435	312343	294248	295025	776	777	stress response	0
scaffold890	CGI_10014480	287435	312343	294248	295025	776	777	cell cycle and proliferation	0
scaffold890	CGI_10014480	287435	312343	294248	295025	776	777	signal transduction	0
scaffold890	CGI_10014480	287435	312343	294248	295025	776	777	cell organization and biogenesis	0
scaffold890	CGI_10014480	287435	312343	294248	295025	776	777	transport	0
scaffold890	CGI_10014480	287435	312343	294248	295025	776	777	protein metabolism	0
scaffold890	CGI_10014480	287435	312343	294248	295025	776	777	other metabolic processes	0
scaffold802	CGI_10015729	228542	309723	294287	295681	1393	1394	cell organization and biogenesis	0
scaffold120	CGI_10017538	264767	312671	294288	295925	1636	1637	cell adhesion	0
scaffold1322	CGI_10019472	265135	302274	294350	294939	588	589	cell organization and biogenesis	0
scaffold1322	CGI_10019472	265135	302274	294350	294939	588	589	transport	0
scaffold1812	CGI_10004688	18505	39381	29440	31527	2086	2087	transport	0
scaffold867	CGI_10026218	290200	299286	294460	299665	4825	5205	stress response	0
scaffold867	CGI_10026218	290200	299286	294460	299665	4825	5205	cell adhesion	0
scaffold1245	CGI_10009219	21720	29508	29451	31032	56	1581	cell organization and biogenesis	0
scaffold1245	CGI_10009219	21720	29508	29451	31032	56	1581	cell-cell signaling	0
scaffold1245	CGI_10009219	21720	29508	29451	31032	56	1581	developmental processes	0
scaffold280	CGI_10024584	294180	299342	294512	297399	2886	2887	protein metabolism	0
scaffold280	CGI_10024584	294180	299342	294512	297399	2886	2887	cell organization and biogenesis	0
scaffold43842	CGI_10013111	282281	303325	294533	305170	8791	10637	cell organization and biogenesis	0
scaffold43842	CGI_10013111	282281	303325	294533	305170	8791	10637	transport	0
scaffold43842	CGI_10013111	282281	303325	294533	305170	8791	10637	protein metabolism	0
scaffold43842	CGI_10013111	282281	303325	294533	305170	8791	10637	cell adhesion	0
scaffold43842	CGI_10013111	282281	303325	294533	305170	8791	10637	cell cycle and proliferation	0
scaffold43842	CGI_10013111	282281	303325	294533	305170	8791	10637	RNA metabolism	0
scaffold43842	CGI_10013112	302984	304234	294533	305170	1250	10637	RNA metabolism	0
scaffold395	CGI_10013984	277385	298348	294616	295547	930	931	RNA metabolism	0
scaffold140	CGI_10020133	274556	300501	294630	295271	640	641	cell organization and biogenesis	0
scaffold140	CGI_10020133	274556	300501	294630	295271	640	641	signal transduction	0
scaffold169	CGI_10022951	289764	307909	294634	295252	617	618	protein metabolism	0
scaffold169	CGI_10022951	289764	307909	294634	295252	617	618	cell organization and biogenesis	0
scaffold169	CGI_10022951	289764	307909	294634	295252	617	618	signal transduction	0
scaffold169	CGI_10022951	289764	307909	294634	295252	617	618	cell cycle and proliferation	0
scaffold169	CGI_10022951	289764	307909	294634	295252	617	618	cell adhesion	0
scaffold169	CGI_10022951	289764	307909	294634	295252	617	618	developmental processes	0
scaffold169	CGI_10022951	289764	307909	294634	295252	617	618	cell-cell signaling	0
scaffold1865	CGI_10013547	265949	318343	294713	296457	1743	1744	signal transduction	0
scaffold1865	CGI_10013547	265949	318343	294713	296457	1743	1744	cell cycle and proliferation	0
scaffold1865	CGI_10013547	265949	318343	294713	296457	1743	1744	cell organization and biogenesis	0
scaffold1865	CGI_10013547	265949	318343	294713	296457	1743	1744	transport	0
scaffold513	CGI_10022148	284452	305652	294714	296561	1846	1847	protein metabolism	0
scaffold513	CGI_10022148	284452	305652	294714	296561	1846	1847	transport	0
scaffold513	CGI_10022148	284452	305652	294714	296561	1846	1847	cell organization and biogenesis	0
scaffold513	CGI_10022148	284452	305652	294714	296561	1846	1847	death	0
scaffold513	CGI_10022148	284452	305652	294714	296561	1846	1847	RNA metabolism	0
scaffold1000	CGI_10013088	293157	305942	294786	296350	1563	1564	stress response	0
scaffold1000	CGI_10013088	293157	305942	294786	296350	1563	1564	protein metabolism	0
scaffold1000	CGI_10013088	293157	305942	294786	296350	1563	1564	developmental processes	0
scaffold1000	CGI_10013088	293157	305942	294786	296350	1563	1564	other metabolic processes	0
scaffold852	CGI_10012044	271364	304704	294811	295834	1022	1023	transport	0
scaffold852	CGI_10012044	271364	304704	294811	295834	1022	1023	cell-cell signaling	0
scaffold852	CGI_10012044	271364	304704	294811	295834	1022	1023	death	0
scaffold852	CGI_10012044	271364	304704	294811	295834	1022	1023	cell organization and biogenesis	0
scaffold852	CGI_10012044	271364	304704	294811	295834	1022	1023	developmental processes	0
scaffold41824	CGI_10005708	18136	51013	29486	30048	561	562	other metabolic processes	0
scaffold1678	CGI_10010379	25348	44463	29487	30913	1425	1426	transport	0
scaffold751	CGI_10017395	293586	308831	294876	295381	504	505	transport	0
scaffold410	CGI_10020634	295231	297589	294905	296816	1585	1911	RNA metabolism	0
scaffold1350	CGI_10017309	287668	297786	294916	295421	504	505	protein metabolism	0
scaffold1350	CGI_10017309	287668	297786	294916	295421	504	505	cell adhesion	0
scaffold1350	CGI_10017309	287668	297786	294916	295421	504	505	other metabolic processes	0
scaffold1350	CGI_10017309	287668	297786	294916	295421	504	505	cell organization and biogenesis	0
scaffold1788	CGI_10019922	282995	305782	294958	296415	1456	1457	stress response	1
scaffold1788	CGI_10019922	282995	305782	294958	296415	1456	1457	DNA metabolism	1
scaffold1788	CGI_10019922	282995	305782	294958	296415	1456	1457	protein metabolism	1
scaffold1788	CGI_10019922	282995	305782	294958	296415	1456	1457	developmental processes	1
scaffold1788	CGI_10019922	282995	305782	294958	296415	1456	1457	cell organization and biogenesis	1
scaffold1788	CGI_10019922	282995	305782	294958	296415	1456	1457	RNA metabolism	1
scaffold1788	CGI_10019922	282995	305782	294958	296415	1456	1457	cell cycle and proliferation	1
scaffold1788	CGI_10019922	282995	305782	294958	296415	1456	1457	signal transduction	1
scaffold1897	CGI_10020921	288676	295391	295002	295681	388	679	cell cycle and proliferation	0
scaffold1897	CGI_10020921	288676	295391	295002	295681	388	679	cell organization and biogenesis	0
scaffold1897	CGI_10020921	288676	295391	295002	295681	388	679	other metabolic processes	0
scaffold1897	CGI_10020921	288676	295391	295002	295681	388	679	RNA metabolism	0
scaffold1897	CGI_10020921	288676	295391	295002	295681	388	679	protein metabolism	0
scaffold1041	CGI_10014681	294420	297225	295034	296971	1936	1937	cell cycle and proliferation	0
scaffold1041	CGI_10014681	294420	297225	295034	296971	1936	1937	transport	0
scaffold1041	CGI_10014681	294420	297225	295034	296971	1936	1937	cell organization and biogenesis	0
scaffold1041	CGI_10014681	294420	297225	295034	296971	1936	1937	other metabolic processes	0
scaffold1041	CGI_10014681	294420	297225	295034	296971	1936	1937	protein metabolism	0
scaffold1599	CGI_10027144	291871	301066	295051	295740	688	689	signal transduction	0
scaffold1599	CGI_10027144	291871	301066	295051	295740	688	689	stress response	0
scaffold1599	CGI_10027144	291871	301066	295051	295740	688	689	cell adhesion	0
scaffold1599	CGI_10027144	291871	301066	295051	295740	688	689	cell organization and biogenesis	0
scaffold1599	CGI_10027144	291871	301066	295051	295740	688	689	protein metabolism	0
scaffold1599	CGI_10027144	291871	301066	295051	295740	688	689	transport	0
scaffold1599	CGI_10027144	291871	301066	295051	295740	688	689	developmental processes	0
scaffold12	CGI_10018039	290334	319375	295119	296593	1473	1474	cell organization and biogenesis	0
scaffold12	CGI_10018039	290334	319375	295119	296593	1473	1474	transport	0
